Delta,Parameter,Sensitivity_C,Sensitivity_Aa,Value
1.0%,ps,3.836859539911618e-13,4.073138258194852e-06,934676.3147912543
1.0%,Fl,1.2816760827225193e-11,0.0001360603335317992,27980.71824449165
1.0%,settling time,9.268179964821746e-08,0.9838926342198093,3.869391562041417
1.0%,ps,1.1498788217482465e-11,2.9197648424935773e-05,247917.26510612122
1.0%,Fl,3.5140764977948823e-10,0.0008922920239973628,8112.367868774673
1.0%,settling time,1.6644047939405789e-06,4.22624585226898,1.7127733213045038
1.0%,ps,9.57326017707743e-13,3.908132471051829e-06,1171702.8656453555
1.0%,Fl,2.671741436490856e-11,0.0001090696300849123,41983.914423182156
1.0%,settling time,5.855196356345641e-07,2.3902915601740755,1.9157370138225356
1.0%,ps,6.743418485171447e-13,1.302028348960981e-06,624227.6736574268
1.0%,Fl,6.274853956148237e-11,0.00012115572768412059,6708.408614630103
1.0%,settling time,2.953306655744376e-07,0.5702284379072704,1.4253272430444859
1.0%,ps,3.87867022017181e-10,0.0010705970199039012,130983.1869409557
1.0%,Fl,1.790490952475094e-09,0.004942142974454328,28374.373287325998
1.0%,settling time,1.621463469577649e-05,44.75590498477533,3.1332225243619813
1.0%,ps,1.1868859220193394e-12,3.288405591326103e-07,1521641.0653288455
1.0%,Fl,1.16440312464449e-10,3.22611438437479e-05,15510.21566827829
1.0%,settling time,5.240090286388476e-06,1.451828004455233,0.34465329032527803
1.0%,ps,6.90774071879229e-13,8.419199699614415e-07,1071424.9375638445
1.0%,Fl,5.619277744625276e-11,6.848812574984788e-05,13170.95542290694
1.0%,settling time,7.927001292596195e-07,0.9661481172839568,0.9336602070762741
1.0%,ps,1.3338800384812257e-13,4.392977924522681e-07,1979125.6419620742
1.0%,Fl,1.0300429446415216e-11,3.3923259862803856e-05,25629.185668353886
1.0%,settling time,1.5254582607632058e-07,0.5023918396697595,1.730572546861275
1.0%,ps,4.929585117598154e-13,3.6275766849601774e-06,1159549.9123852022
1.0%,Fl,1.4767059893178106e-11,0.00010866764828274985,38708.44997281406
1.0%,settling time,1.8962717948559607e-07,1.3954260221230685,3.014388552691903
1.0%,ps,7.213337984661045e-13,3.0702295631633647e-06,658076.666871078
1.0%,Fl,4.028704984700272e-11,0.00017147469273716013,11782.767504663638
1.0%,settling time,2.20663095572641e-07,0.9392133863225605,2.1512112868903435
10.0%,ps,9.645644868854638e-13,1.7014212879780566e-06,589031.0361519887
10.0%,Fl,1.538303320903984e-11,2.7134546763218822e-05,36934.09559901864
10.0%,settling time,6.050668786215277e-07,1.0672937703327927,0.9390010248783454
10.0%,ps,6.124155129369218e-15,7.499148203646132e-08,1058135.1127261063
10.0%,Fl,5.29038154052875e-13,6.478176072973701e-06,12248.990982074978
10.0%,settling time,2.2408196473684237e-09,0.02743927656677223,2.8918809176711138
10.0%,ps,2.6179676781089465e-13,1.0557642633895932e-06,558474.1370741974
10.0%,Fl,6.750865461393757e-12,2.7224639023194324e-05,21657.478560062747
10.0%,settling time,7.051315592185005e-08,0.2843628313046328,2.073467313731423
10.0%,ps,3.1566786944229954e-14,4.982868787653627e-07,389160.1114849867
10.0%,Fl,2.099870154704557e-12,3.314679276826213e-05,5850.139971234427
10.0%,settling time,2.6493777773653663e-09,0.041820860187197814,4.636762047070358
10.0%,ps,8.013605175053707e-14,1.7241974957796353e-07,1450074.7202934998
10.0%,Fl,3.4457042983990665e-12,7.413735257373693e-06,33724.09608148195
10.0%,settling time,1.0029642951384204e-07,0.21579657198702226,1.1585982012604754
10.0%,ps,4.704380044902867e-15,2.2781931380198917e-07,534062.9617635037
10.0%,Fl,3.7538779134922754e-13,1.8178928619401343e-05,6692.905837485276
10.0%,settling time,5.571716157961671e-10,0.02698218553115413,4.509266209571391
10.0%,ps,5.2038581165314696e-14,6.149009499706912e-07,900660.8622781851
10.0%,Fl,1.2849437509331194e-12,1.5183218208768398e-05,36475.614866448086
10.0%,settling time,1.0526162562733396e-08,0.12437978158568322,4.452630586384831
10.0%,ps,4.058067171667566e-14,1.1108797423443735e-08,1531615.150096212
10.0%,Fl,5.0467177551289625e-12,1.3815189060063447e-06,12315.721745915835
10.0%,settling time,9.582086906800655e-08,0.026230581663274896,0.6486475462691642
10.0%,ps,2.5773260453942366e-14,2.7035591263106235e-07,1230732.9242117258
10.0%,Fl,9.219755787552626e-13,9.671323869301255e-06,34404.38221560635
10.0%,settling time,8.688694226057587e-09,0.0911425180859771,3.6507211992593707
10.0%,ps,3.5724671080264526e-13,2.2980484986361957e-06,462016.02206826315
10.0%,Fl,5.764730428956615e-12,3.70825810475399e-05,28631.643102153383
10.0%,settling time,5.062842620016082e-08,0.32567571736683293,3.260099446296537
25.0%,ps,3.462863387239165e-15,2.168272481199141e-09,1557936.05649778
25.0%,Fl,4.615966811861904e-13,2.8902883807577256e-07,11687.518454080533
25.0%,settling time,3.8404124810764815e-09,0.0024046749085908244,1.4047761161826329
25.0%,ps,2.9363671241698357e-14,2.663728807140345e-07,740414.0989275575
25.0%,Fl,8.283727844478743e-13,7.514593222428538e-06,26245.763491757014
25.0%,settling time,5.827578836475946e-09,0.052864948305777835,3.7307562529303353
25.0%,ps,1.9882469265274367e-11,3.0134078487486485e-05,151708.9797975587
25.0%,Fl,7.838851012263365e-11,0.00011880644627366281,38479.4802627606
25.0%,settling time,2.2006413845988836e-06,3.3353151120990097,1.3706681830128757
25.0%,ps,2.7337409077962997e-15,2.924152683167224e-08,1601884.7847968196
25.0%,Fl,1.8579771119971753e-13,1.9873897858482285e-06,23569.385960133375
25.0%,settling time,1.486319826298322e-09,0.015898456564482636,2.946295870036112
25.0%,ps,4.0503096920094734e-12,3.7346811244468477e-06,228445.22835193985
25.0%,Fl,4.841141534360925e-11,4.463885797380431e-05,19112.7219875699
25.0%,settling time,1.4479130303474889e-06,1.335081481533969,0.6390397096330573
25.0%,ps,-2.776632290995558e-16,-9.89487964138502e-09,1814352.7451517286
25.0%,Fl,-6.879942655384737e-14,-2.451754405343107e-06,7322.430827968875
25.0%,settling time,-4.074040134821043e-10,-0.01451835625442948,1.2365588587079581
25.0%,ps,2.251602756231476e-15,4.648188361025066e-08,1996442.0485127734
25.0%,Fl,9.906554445414866e-14,2.0451001378284246e-06,45375.96238789484
25.0%,settling time,1.0283849791562805e-09,0.021229886477700723,4.3711202615734175
25.0%,ps,4.066289653125075e-14,3.8084843496581863e-07,861771.2559129525
25.0%,Fl,7.183107812467005e-13,6.727694291198241e-06,48784.058833107425
25.0%,settling time,8.802036065768568e-09,0.08243981482195556,3.9811374494447294
25.0%,ps,4.2420539768684905e-14,1.6035314827028365e-07,921322.7982369502
25.0%,Fl,1.4449919061841335e-12,5.462188898236348e-06,27047.217520833852
25.0%,settling time,2.103391654544708e-08,0.07950994393066893,1.8580947736462499
25.0%,ps,4.710161790774406e-15,4.198932902167742e-08,1823874.3082409084
25.0%,Fl,2.3865434736641247e-13,2.127514161753333e-06,35996.59160895916
25.0%,settling time,2.8984322119771933e-09,0.02583843808382837,2.9639275475727516
